 15034   -24558.000        5.000
 15035   -24857.600        1.900
 15036   -20251.000       14.000
 15037   -18990.000       40.000
 15038   -14470.000      140.000
 15039   -12650.000      150.000
 15040    -8340.000      200.000
 15041    -4800.000      500.000
 15042      100.000        5.000
 15043     3100.000      500.000
 15044     9200.000      700.000
 15045    14100.000      800.000
 15046    22200.000      900.000
 16026    26000.000      300.000
 16027    17510.000      210.000
 16028     4070.000      160.000
 16029    -3160.000       50.000
 16030   -14063.000        3.000
 16031   -19044.900        1.500
 16032   -26015.980        0.120
 16033   -26586.240        0.110
 16034   -29931.850        0.100
 16035   -28846.370        0.100
 16036   -30663.960        0.240
 16037   -26896.200        0.300
 16038   -26861.000        8.000
 16039   -23160.000       50.000
 16040   -22850.000      240.000
 16041   -18600.000      220.000
 16042   -17200.000      400.000
 16043   -12500.000      900.000
 16044   -10900.000      500.000
 16045    -4800.000      600.000
 16046     -400.000        7.000
 16047     7100.000      800.000
 16048    12100.000      900.000
 16049    20500.000     1000.000
 17028    26600.000      500.000
 17029    13140.000      200.000
 17030     4440.000      200.000
 17031    -7060.000       50.000
 17032   -13331.000        7.000
 17033   -21003.500        0.600
 17034   -24440.570        0.120
 17035   -29013.510        0.040
 17036   -29521.890        0.080
 17037   -31761.520        0.050
 17038   -29797.980        0.120
 17039   -29800.700        1.800
 17040   -27560.000       40.000
 17041   -27340.000       70.000
 17042   -24990.000      110.000
 17043   -24030.000      170.000
 17044   -19990.000      230.000
 17045   -18900.000      700.000
 17046   -14800.000      500.000
 17047   -11200.000      600.000
 17048    -4800.000      700.000
 17049     -100.000        8.000
 17050     7200.000      900.000
 17051    12600.000     1000.000
 18030    20100.000      300.000
 18031    11300.000      210.000
 18032    -2180.000       50.000
 18033    -9380.000       30.000
 18034   -18378.000        3.000
 18035   -23048.200        0.800
 18036   -30230.400        0.300
 18037   -30948.000        0.300
 18038   -34714.800        0.500
 18039   -33242.000        5.000
 18040   -35039.890        0.004
 18041   -33067.300        0.700
 18042   -34420.000       40.000
 18043   -31980.000       70.000
 18044   -32262.000       21.000
 18045   -29720.000       60.000
 18046   -29720.000       40.000
 18047   -25910.000      100.000
 18048   -23200.000      300.000
 18049   -16600.000      500.000
 18050   -13100.000      700.000
 18051    -6300.000      700.000
 18052    -1700.000      900.000
 18053     5800.000     1000.000
 19032    20400.000      500.000
 19033     6760.000      200.000
 19034    -1500.000      300.000
 19035   -11167.000       20.000
 19036   -17425.000        8.000
 19037   -24799.200        0.300
 19038   -28801.700        0.800
 19039   -33806.800        0.300
 19040   -33535.000        0.300
 19041   -35558.900        0.300
 19042   -35021.300        0.300
 19043   -36593.000        9.000
 19044   -35810.000       40.000
 19045   -36608.000       11.000
 19046   -35419.000       16.000
 19047   -35697.000        8.000
 19048   -32124.000       25.000
 19049   -30320.000       70.000
 19050   -25400.000      300.000
 19051   -22000.000      500.000
 19052   -16200.000      700.000
 19053   -12000.000      700.000
 19054    -5600.000      900.000
 19055     -600.000       10.000
 20034    13200.000      300.000
 20035     4440.000       70.000
 20036    -6440.000       40.000
